date:,tweets:
2016-13-12,10
2016-14-12,46
2016-15-12,471
2016-16-12,467
2016-17-12,249
2016-18-12,186
2016-19-12,411
2016-20-12,640
2016-21-12,514
2016-22-12,389
2016-23-12,413
2016-24-12,193
2016-25-12,174
2016-26-12,175
2016-27-12,703
2016-28-12,481
2016-29-12,468
2016-30-12,475
2016-31-12,199
2017-01-01,194
2017-02-01,284
2017-03-01,585
2017-04-01,1377
2017-05-01,743
2017-06-01,616
2017-07-01,255
2017-08-01,304
2017-09-01,577
2017-10-01,525
2017-11-01,486
2017-12-01,446
2017-13-01,706
2017-14-01,363
2017-15-01,280
2017-16-01,206
